country,year,population
ABW,"2000",90588
AFG,"2000",20130327
AGO,"2000",16194869
ALB,"2000",3089027
AND,"2000",65685
ARE,"2000",3493575
ARG,"2000",37213984
ARM,"2000",3221100
ASM,"2000",56855
ATG,"2000",74912
AUS,"2000",19028802
AUT,"2000",8011566
AZE,"2000",8048600
BDI,"2000",6470194
BEL,"2000",10251250
BEN,"2000",7221619
BFA,"2000",11925546
BGD,"2000",134544304
BGR,"2000",8170172
BHR,"2000",637582
BHS,"2000",323835
BIH,"2000",4159771
BLR,"2000",9979610
BLZ,"2000",240799
BMU,"2000",61550
BOL,"2000",8606326
BRA,"2000",174018282
BRB,"2000",262063
BRN,"2000",326424
BTN,"2000",596863
BWA,"2000",1677382
CAF,"2000",3833416
CAN,"2000",30685730
CHE,"2000",7184250
CHI,"2000",148110
CHL,"2000",15503635
CHN,"2000",1262645000
CIV,"2000",17699004
CMR,"2000",14912631
COD,"2000",50507442
COG,"2000",3151345
COL,"2000",39089934
COM,"2000",536080
CPV,"2000",453317
CRI,"2000",3937739
CUB,"2000",11109109
CUW,"2000",133860
CYM,"2000",39674
CYP,"2000",947667
CZE,"2000",10255063
DEU,"2000",82211508
DJI,"2000",747318
DMA,"2000",68511
DNK,"2000",5339616
DOM,"2000",8584190
DZA,"2000",30903893
ECU,"2000",12689206
EGY,"2000",73083284
ERI,"2000",2247031
ESP,"2000",40567864
EST,"2000",1396985
ETH,"2000",67411494
FIN,"2000",5176209
FJI,"2000",840909
FRA,"2000",60918661
FRO,"2000",45754
FSM,"2000",112044
GAB,"2000",1275572
GBR,"2000",58892514
GEO,"2000",4077131
GHA,"2000",19637087
GIB,"2000",27709
GIN,"2000",8428832
GMB,"2000",1455084
GNB,"2000",1234741
GNQ,"2000",703279
GRC,"2000",10805808
GRD,"2000",107451
GRL,"2000",56185
GTM,"2000",11697592
GUM,"2000",160065
GUY,"2000",764832
HKG,"2000",6665000
HND,"2000",6577773
HRV,"2000",4468302
HTI,"2000",8303151
HUN,"2000",10210971
IDN,"2000",216077790
IMN,"2000",75659
IND,"2000",1057922733
IRL,"2000",3805174
IRN,"2000",66418659
IRQ,"2000",24424056
ISL,"2000",281205
ISR,"2000",6289000
ITA,"2000",56942108
JAM,"2000",2607826
JOR,"2000",5386945
JPN,"2000",126843000
KAZ,"2000",15501103
KEN,"2000",30642890
KGZ,"2000",4898362
KHM,"2000",12462336
KIR,"2000",88613
KNA,"2000",45248
KOR,"2000",47008111
KWT,"2000",1954709
LAO,"2000",5431212
LBN,"2000",4329340
LBR,"2000",2928117
LBY,"2000",5305021
LCA,"2000",158616
LIE,"2000",32645
LKA,"2000",19293054
LSO,"2000",2003913
LTU,"2000",3499536
LUX,"2000",436300
LVA,"2000",2367550
MAC,"2000",430600
MAF,"2000",29996
MAR,"2000",28423435
MCO,"2000",32455
MDA,"2000",2924668
MDG,"2000",16516338
MDV,"2000",282019
MEX,"2000",98625552
MHL,"2000",50706
MKD,"2000",2026350
MLI,"2000",11559290
MLT,"2000",390087
MMR,"2000",45290841
MNE,"2000",604950
MNG,"2000",2388299
MNP,"2000",68356
MOZ,"2000",18129653
MRT,"2000",2613441
MUS,"2000",1186873
MWI,"2000",11315942
MYS,"2000",22967816
NAM,"2000",1818647
NCL,"2000",223098
NER,"2000",11509630
NGA,"2000",126382494
NIC,"2000",5022633
NLD,"2000",15925513
NOR,"2000",4490967
NPL,"2000",24546509
NRU,"2000",10168
NZL,"2000",3857700
OMN,"2000",2282131
PAK,"2000",154879127
PAN,"2000",3010369
PER,"2000",26598331
PHL,"2000",79625397
PLW,"2000",19178
PNG,"2000",5537064
POL,"2000",38258629
PRI,"2000",3810605
PRK,"2000",23665910
PRT,"2000",10289898
PRY,"2000",5100868
PSE,"2000",2922153
PYF,"2000",240337
QAT,"2000",644989
ROU,"2000",22442971
RUS,"2000",146596869
RWA,"2000",8213931
SAU,"2000",16177722
SDN,"2000",27816745
SEN,"2000",9968260
SGP,"2000",4027887
SLB,"2000",440469
SLE,"2000",4423611
SLV,"2000",5943366
SMR,"2000",26799
SOM,"2000",8838713
SRB,"2000",7516346
SSD,"2000",6032267
STP,"2000",144018
SUR,"2000",476643
SVK,"2000",5388720
SVN,"2000",1988925
SWE,"2000",8872109
SWZ,"2000",1041414
SXM,"2000",30773
SYC,"2000",81131
SYR,"2000",16637888
TCA,"2000",18730
TCD,"2000",8512093
TGO,"2000",5140037
THA,"2000",63007815
TJK,"2000",6284735
