inf_type,country,year,cases
PER,AFG,"2024",921
PER,ALB,"2024",1
PER,DZA,"2024",209
PER,ASM,"2024",0
PER,AND,"2024",27
PER,AGO,"2024",0
PER,ATG,"2024",0
PER,ARG,"2024",0
PER,ARM,"2024",121
PER,ABW,"2024",6
PER,AUS,"2024",57167
PER,AUT,"2024",15468
PER,AZE,"2024",0
PER,BHS,"2024",0
PER,BHR,"2024",17
PER,BGD,"2024",0
PER,BRB,"2024",0
PER,BLR,"2024",2002
PER,BEL,"2024",3078
PER,BLZ,"2024",0
PER,BEN,"2024",1
PER,BMU,"2024",2
PER,BTN,"2024",4
PER,BOL,"2024",55
PER,BIH,"2024",766
PER,BWA,"2024",0
PER,BRA,"2024",7438
PER,VGB,"2024",0
PER,BRN,"2024",2
PER,BGR,"2024",2721
PER,BFA,"2024",1
PER,BDI,"2024",0
PER,CPV,"2024",0
PER,KHM,"2024",24
PER,CMR,"2024",0
PER,CAN,"2024",21789
PER,CYM,"2024",0
PER,CAF,"2024",0
PER,TCD,"2024",0
PER,CHL,"2024",87
PER,CHN,"2024",476690
PER,HKG,"2024",38
PER,COL,"2024",87
PER,COM,"2024",0
PER,COG,"2024",0
PER,CRI,"2024",155
PER,HRV,"2024",1857
PER,CUB,"2024",0
PER,CUW,"2024",0
PER,CYP,"2024",34
PER,CZE,"2024",37375
PER,CIV,"2024",1168
PER,PRK,"2024",0
PER,COD,"2024",935
PER,DNK,"2024",3890
PER,DJI,"2024",0
PER,DMA,"2024",0
PER,DOM,"2024",23
PER,ECU,"2024",173
PER,EGY,"2024",3
PER,SLV,"2024",0
PER,GNQ,"2024",0
PER,ERI,"2024",0
PER,EST,"2024",250
PER,SWZ,"2024",0
PER,ETH,"2024",1792
PER,FJI,"2024",0
PER,FIN,"2024",2814
PER,FRA,"2024",464
PER,PYF,"2024",524
PER,GAB,"2024",0
PER,GMB,"2024",0
PER,GEO,"2024",1639
PER,DEU,"2024",24772
PER,GHA,"2024",0
PER,GRC,"2024",440
PER,GRD,"2024",0
PER,GUM,"2024",5
PER,GTM,"2024",9
PER,GIN,"2024",175
PER,GNB,"2024",0
PER,GUY,"2024",0
PER,HTI,"2024",0
PER,HND,"2024",16
PER,HUN,"2024",632
PER,ISL,"2024",164
PER,IND,"2024",2395
PER,IDN,"2024",2466
PER,IRN,"2024",216
PER,IRQ,"2024",2044
PER,IRL,"2024",713
PER,ISR,"2024",0
PER,ITA,"2024",4634
PER,JAM,"2024",0
PER,JPN,"2024",4095
PER,JOR,"2024",9
PER,KAZ,"2024",3110
PER,KEN,"2024",2
PER,KIR,"2024",0
PER,XKX,"2024",209
PER,KWT,"2024",129
PER,KGZ,"2024",3344
PER,LAO,"2024",175
PER,LVA,"2024",4260
PER,LBN,"2024",56
PER,LSO,"2024",0
PER,LBR,"2024",0
PER,LBY,"2024",770
PER,LTU,"2024",898
PER,LUX,"2024",1281
PER,MDG,"2024",113
PER,MWI,"2024",0
PER,MYS,"2024",479
PER,MDV,"2024",17
PER,MLI,"2024",0
PER,MLT,"2024",43
PER,MHL,"2024",0
PER,MRT,"2024",0
PER,MUS,"2024",0
PER,MEX,"2024",645
PER,FSM,"2024",3
PER,MCO,"2024",0
