inf_type,antigen,country,year,target_num,doses,coverage
PER,DTPCV1,AFG,"2024",1910633,1814967,94.99
PER,DTPCV1,ALB,"2024",22494,22207,98.72
PER,DTPCV1,DZA,"2024",872825,859173,98.44
PER,DTPCV1,AND,"2024",0,0,0
PER,DTPCV1,AGO,"2024",1177801,973018,82.61
PER,DTPCV1,AIA,"2024",160,144,90
PER,DTPCV1,ATG,"2024",884,875,98.98
PER,DTPCV1,ARG,"2024",454910,365440,80.33
PER,DTPCV1,ARM,"2024",33383,32220,96.52
PER,DTPCV1,ABW,"2024",893,866,96.98
PER,DTPCV1,AUS,"2024",0,0,0
PER,DTPCV1,AUT,"2024",0,0,0
PER,DTPCV1,AZE,"2024",81886,79949,97.63
PER,DTPCV1,BHS,"2024",3128,3076,98.34
PER,DTPCV1,BHR,"2024",16507,15971,96.75
PER,DTPCV1,BGD,"2024",3292000,3938725,119.65
PER,DTPCV1,BRB,"2024",1874,1769,94.4
PER,DTPCV1,BLR,"2024",59390,57939,97.56
PER,DTPCV1,BEL,"2024",0,0,0
PER,DTPCV1,BLZ,"2024",5642,5003,88.67
PER,DTPCV1,BEN,"2024",402237,493756,122.75
PER,DTPCV1,BMU,"2024",427,420,98.36
PER,DTPCV1,BTN,"2024",9142,9003,98.48
PER,DTPCV1,BOL,"2024",237693,155167,65.28
PER,DTPCV1,BON,"2024",258,254,98.45
PER,DTPCV1,BIH,"2024",25558,23377,91.46
PER,DTPCV1,BWA,"2024",57529,47706,82.93
PER,DTPCV1,BRA,"2024",2382001,2137069,89.72
PER,DTPCV1,VGB,"2024",226,204,90.27
PER,DTPCV1,BRN,"2024",6165,6161,99.94
PER,DTPCV1,BGR,"2024",53792,51440,95.63
PER,DTPCV1,BFA,"2024",873928,852819,97.58
PER,DTPCV1,BDI,"2024",494063,435216,88.09
PER,DTPCV1,CPV,"2024",6425,6289,97.88
PER,DTPCV1,KHM,"2024",341525,324709,95.08
PER,DTPCV1,CMR,"2024",1024502,931169,90.89
PER,DTPCV1,CAN,"2024",0,0,0
PER,DTPCV1,CYM,"2024",814,810,99.51
PER,DTPCV1,CAF,"2024",199407,225396,113.03
PER,DTPCV1,TCD,"2024",874041,971979,111.21
PER,DTPCV1,CHL,"2024",157330,154916,98.47
PER,DTPCV1,CHN,"2024",9599758,9298587,96.86
PER,DTPCV1,HKG,"2024",0,0,0
PER,DTPCV1,MAC,"2024",3823,3755,98.22
PER,DTPCV1,COL,"2024",528110,465913,88.22
PER,DTPCV1,COM,"2024",23651,18261,77.21
PER,DTPCV1,COG,"2024",226923,203102,89.5
PER,DTPCV1,COK,"2024",195,192,98.46
PER,DTPCV1,CRI,"2024",45825,44770,97.7
PER,DTPCV1,CIV,"2024",1188122,1168538,98.35
PER,DTPCV1,HRV,"2024",0,0,0
PER,DTPCV1,CUB,"2024",70849,70647,99.71
PER,DTPCV1,CYP,"2024",10112,10112,100
PER,DTPCV1,CZE,"2024",101676,98284,96.66
PER,DTPCV1,PRK,"2024",291071,285684,98.1
PER,DTPCV1,COD,"2024",4487354,4692347,104.57
PER,DTPCV1,DNK,"2024",58163,56378,96.93
PER,DTPCV1,DJI,"2024",17970,19556,108.83
PER,DTPCV1,DMA,"2024",620,596,96.13
PER,DTPCV1,DOM,"2024",184154,178899,97.15
PER,DTPCV1,ECU,"2024",262186,227673,86.84
PER,DTPCV1,EGY,"2024",1936580,1910820,98.67
PER,DTPCV1,SLV,"2024",69702,68467,98.23
PER,DTPCV1,GNQ,"2024",20668,15484,74.92
PER,DTPCV1,ERI,"2024",98696,85983,87.12
PER,DTPCV1,EST,"2024",11093,9047,81.56
PER,DTPCV1,SWZ,"2024",31259,28516,91.22
PER,DTPCV1,ETH,"2024",3492892,3847342,110.15
PER,DTPCV1,FJI,"2024",16835,16579,98.48
PER,DTPCV1,FIN,"2024",0,0,98
PER,DTPCV1,FRA,"2024",0,0,98.8
PER,DTPCV1,PYF,"2024",0,0,0
PER,DTPCV1,GAB,"2024",81840,51010,62.33
PER,DTPCV1,GMB,"2024",83422,68350,81.93
PER,DTPCV1,GEO,"2024",34650,33012,95
PER,DTPCV1,DEU,"2024",0,0,96.9
PER,DTPCV1,GHA,"2024",1286337,1207518,93.87
PER,DTPCV1,GRC,"2024",0,0,98.27
PER,DTPCV1,GRD,"2024",1123,1045,93.05
PER,DTPCV1,GUM,"2024",0,0,0
PER,DTPCV1,GTM,"2024",331510,284324,85.77
PER,DTPCV1,GIN,"2024",503280,491317,97.62
PER,DTPCV1,GNB,"2024",74567,54940,73.68
PER,DTPCV1,GUY,"2024",12301,12301,100
PER,DTPCV1,HTI,"2024",276226,245889,89.02
PER,DTPCV1,HND,"2024",174549,129505,74.19
PER,DTPCV1,HUN,"2024",84137,84109,99.97
PER,DTPCV1,ISL,"2024",4330,4233,97.76
PER,DTPCV1,IND,"2024",25975417,25064743,96.49
PER,DTPCV1,IDN,"2024",4412879,3696726,83.77
PER,DTPCV1,IRN,"2024",1027524,1007295,98.03
PER,DTPCV1,IRQ,"2024",1031122,1002595,97.23
PER,DTPCV1,IRL,"2024",0,0,0
PER,DTPCV1,ITA,"2024",0,0,0
PER,DTPCV1,JAM,"2024",25946,24452,94.24
PER,DTPCV1,JPN,"2024",797000,779662,97.82
PER,DTPCV1,JOR,"2024",160484,155270,96.75
PER,DTPCV1,KAZ,"2024",324658,320147,98.61
PER,DTPCV1,KEN,"2024",1686734,1380505,81.84
PER,DTPCV1,KIR,"2024",3359,3216,95.74
PER,DTPCV1,XKX,"2024",21044,20231,96.14
PER,DTPCV1,KWT,"2024",45614,47349,103.8
PER,DTPCV1,KGZ,"2024",138088,123959,89.77
PER,DTPCV1,LAO,"2024",146039,144186,98.73
PER,DTPCV1,LVA,"2024",12885,12977,100.71
PER,DTPCV1,LBN,"2024",87555,74666,85.28
PER,DTPCV1,LSO,"2024",30244,25823,85.38
PER,DTPCV1,LBR,"2024",222797,206673,92.76
PER,DTPCV1,LBY,"2024",274000,251837,91.91
PER,DTPCV1,LTU,"2024",19995,18466,92.35
PER,DTPCV1,LUX,"2024",0,0,0
PER,DTPCV1,MDG,"2024",1103068,985708,89.36
PER,DTPCV1,MWI,"2024",797153,748250,94
PER,DTPCV1,MYS,"2024",455761,414703,90.99
PER,DTPCV1,MDV,"2024",5685,5698,100.23
PER,DTPCV1,MLI,"2024",924853,1052645,113.82
PER,DTPCV1,MLT,"2024",4517,4494,99.49
PER,DTPCV1,MHL,"2024",1352,1324,97.93
PER,DTPCV1,MRT,"2024",163450,155845,95.35
PER,DTPCV1,MUS,"2024",12668,10822,85.43
PER,DTPCV1,MEX,"2024",1876700,1549871,82.58
PER,DTPCV1,FSM,"2024",2542,2446,96.22
PER,DTPCV1,MCO,"2024",0,0,0
PER,DTPCV1,MNG,"2024",56490,55068,97.48
PER,DTPCV1,MNE,"2024",7112,6566,92.32
PER,DTPCV1,MSR,"2024",25,30,120
PER,DTPCV1,MAR,"2024",671349,502850,74.9
PER,DTPCV1,MOZ,"2024",1138685,1505974,132.26
PER,DTPCV1,MMR,"2024",843760,640621,75.92
PER,DTPCV1,NAM,"2024",99861,79196,79.31
PER,DTPCV1,NRU,"2024",0,0,0
PER,DTPCV1,NPL,"2024",497944,475906,95.57
PER,DTPCV1,NLD,"2024",0,0,0
PER,DTPCV1,NCL,"2024",0,0,0
PER,DTPCV1,NZL,"2024",58045,54804,94.42
PER,DTPCV1,NIC,"2024",125116,110117,88.01
PER,DTPCV1,NER,"2024",1090419,1168109,107.12
PER,DTPCV1,NGA,"2024",8645119,8554626,98.95
PER,DTPCV1,NIU,"2024",16,16,100
PER,DTPCV1,MKD,"2024",17526,16226,92.58
PER,DTPCV1,MNP,"2024",791,553,69.91
PER,DTPCV1,NOR,"2024",53352,53229,99.77
PER,DTPCV1,PSE,"2024",120437,123762,102.76
PER,DTPCV1,OMN,"2024",69098,69026,99.9
PER,DTPCV1,PAK,"2024",7365037,7060747,95.87
PER,DTPCV1,PLW,"2024",269,268,99.63
PER,DTPCV1,PAN,"2024",53963,48883,90.59
PER,DTPCV1,PNG,"2024",331678,198516,59.85
PER,DTPCV1,PRY,"2024",98224,80352,81.8
PER,DTPCV1,PER,"2024",381715,391984,102.69
PER,DTPCV1,PHL,"2024",2200865,1509588,68.59
PER,DTPCV1,POL,"2024",250884,0,0
PER,DTPCV1,PRT,"2024",0,0,0
PER,DTPCV1,QAT,"2024",31366,30939,98.6
PER,DTPCV1,KOR,"2024",234394,228762,97.6
PER,DTPCV1,MDA,"2024",26159,22571,86.28
PER,DTPCV1,ROU,"2024",142450,120560,84.63
PER,DTPCV1,RUS,"2024",0,0,0
PER,DTPCV1,RWA,"2024",336087,333643,99.27
PER,DTPCV1,SAB,"2024",15,15,100
PER,DTPCV1,KNA,"2024",561,546,97.33
PER,DTPCV1,LCA,"2024",1410,1316,93.33
PER,DTPCV1,VCT,"2024",1204,1199,99.58
PER,DTPCV1,WSM,"2024",4599,4679,101.74
PER,DTPCV1,SMR,"2024",232,203,87.5
PER,DTPCV1,STP,"2024",3931,3931,100
PER,DTPCV1,SAU,"2024",513650,496940,96.75
PER,DTPCV1,SEN,"2024",621690,477794,76.85
PER,DTPCV1,SRB,"2024",61775,0,0
PER,DTPCV1,SYC,"2024",1333,1303,97.75
PER,DTPCV1,SLE,"2024",328709,336559,102.39
PER,DTPCV1,SGP,"2024",30323,29830,98.4
PER,DTPCV1,STA,"2024",42,24,57.14
PER,DTPCV1,SVK,"2024",53602,51511,96.1
PER,DTPCV1,SVN,"2024",0,0,0
PER,DTPCV1,SLB,"2024",17456,15931,91.26
PER,DTPCV1,SOM,"2024",698112,601950,86
PER,DTPCV1,ZAF,"2024",1132892,862290,76.11
PER,DTPCV1,SSD,"2024",547934,581348,106.1
PER,DTPCV1,ESP,"2024",317317,310736,97.93
PER,DTPCV1,LKA,"2024",218465,213086,97.54
PER,DTPCV1,SDN,"2024",1856373,891340,48.02
PER,DTPCV1,SUR,"2024",9028,7868,87.15
PER,DTPCV1,SWE,"2024",0,0,0
PER,DTPCV1,CHE,"2024",0,0,97
PER,DTPCV1,SYR,"2024",663764,578564,87.16
PER,DTPCV1,TJK,"2024",252222,247516,98.13
PER,DTPCV1,THA,"2024",294608,271126,92.03
PER,DTPCV1,TLS,"2024",32153,36543,113.65
PER,DTPCV1,TGO,"2024",262637,315117,119.98
PER,DTPCV1,TKL,"2024",18,18,100
PER,DTPCV1,TON,"2024",1957,1957,100
PER,DTPCV1,TTO,"2024",11625,10450,89.89
PER,DTPCV1,TUN,"2024",138942,121113,87.3
PER,DTPCV1,TUR,"2024",932327,885118,94.94
PER,DTPCV1,TKM,"2024",0,0,99.3
PER,DTPCV1,TCA,"2024",634,634,100
PER,DTPCV1,TUV,"2024",256,254,99.22
PER,DTPCV1,UGA,"2024",2015715,2051818,101.79
PER,DTPCV1,UKR,"2024",161355,153463,95.11
PER,DTPCV1,ARE,"2024",97000,92945,95.82
PER,DTPCV1,GBR,"2024",0,0,0
PER,DTPCV1,TZA,"2024",3172712,3038288,95.76
PER,DTPCV1,URY,"2024",29839,29007,97.21
PER,DTPCV1,UZB,"2024",892801,805683,90.24
PER,DTPCV1,VUT,"2024",9133,8047,88.11
PER,DTPCV1,VEN,"2024",497794,332250,66.74
PER,DTPCV1,VNM,"2024",1307234,1314721,100.57
PER,DTPCV1,YEM,"2024",1204973,962273,80
PER,DTPCV1,ZMB,"2024",887246,737494,83.12
PER,DTPCV1,ZWE,"2024",457793,469959,102.66
PER,DTPCV1,AFG,"2023",1962370,1891030,96.36
PER,DTPCV1,ALB,"2023",22887,22448,98.08
PER,DTPCV1,DZA,"2023",925447,909515,98.28
PER,DTPCV1,AND,"2023",0,0,0
PER,DTPCV1,AGO,"2023",1154497,1057363,91.59
PER,DTPCV1,AIA,"2023",152,165,108.55
PER,DTPCV1,ATG,"2023",858,850,99.07
PER,DTPCV1,ARG,"2023",494208,380518,77
PER,DTPCV1,ARM,"2023",32766,31616,96.49
PER,DTPCV1,ABW,"2023",945,926,97.99
PER,DTPCV1,AUS,"2023",0,0,0
PER,DTPCV1,AUT,"2023",0,0,0
PER,DTPCV1,AZE,"2023",85930,78701,91.59
PER,DTPCV1,BHS,"2023",3395,3346,98.56
PER,DTPCV1,BHR,"2023",17224,17086,99.2
PER,DTPCV1,BGD,"2023",3269440,4089710,125.1
PER,DTPCV1,BRB,"2023",2183,1984,90.88
PER,DTPCV1,BLR,"2023",64173,62618,97.58
PER,DTPCV1,BEL,"2023",0,0,0
PER,DTPCV1,BLZ,"2023",6772,5733,84.66
PER,DTPCV1,BEN,"2023",448161,498645,111.26
PER,DTPCV1,BMU,"2023",431,425,98.61
PER,DTPCV1,BTN,"2023",9847,9556,97.04
PER,DTPCV1,BOL,"2023",237693,170472,71.72
PER,DTPCV1,BIH,"2023",26401,8394,85.2
PER,DTPCV1,BWA,"2023",56857,53339,93.81
PER,DTPCV1,BRA,"2023",2534306,2136620,84.31
PER,DTPCV1,VGB,"2023",275,252,91.64
PER,DTPCV1,BRN,"2023",6088,6087,99.98
PER,DTPCV1,BGR,"2023",53037,50398,95.02
PER,DTPCV1,BFA,"2023",862042,856823,99.39
PER,DTPCV1,BDI,"2023",484604,424007,87.5
PER,DTPCV1,CPV,"2023",8201,7764,94.67
PER,DTPCV1,KHM,"2023",346821,338642,97.64
PER,DTPCV1,CMR,"2023",988683,890907,90.11
PER,DTPCV1,CAN,"2023",0,0,0
PER,DTPCV1,CYM,"2023",815,804,98.65
PER,DTPCV1,CAF,"2023",194544,213142,109.56
PER,DTPCV1,TCD,"2023",822216,920300,111.93
PER,DTPCV1,CHL,"2023",176919,175765,99.35
PER,DTPCV1,CHN,"2023",9739399,9447521,97
PER,DTPCV1,HKG,"2023",0,0,0
PER,DTPCV1,MAC,"2023",4209,4140,98.36
PER,DTPCV1,COL,"2023",596676,539591,90.43
PER,DTPCV1,COM,"2023",23491,18713,79.66
PER,DTPCV1,COG,"2023",246769,202617,82.11
PER,DTPCV1,COK,"2023",199,189,94.97
PER,DTPCV1,CRI,"2023",50205,48513,96.63
PER,DTPCV1,CIV,"2023",1116979,1132150,101.36
PER,DTPCV1,HRV,"2023",0,0,0
PER,DTPCV1,CUB,"2023",89608,88685,98.97
PER,DTPCV1,CYP,"2023",10112,10112,100
PER,DTPCV1,CZE,"2023",110631,106493,96.26
PER,DTPCV1,PRK,"2023",302551,124383,41.11
PER,DTPCV1,COD,"2023",4322620,4206572,97.32
PER,DTPCV1,DNK,"2023",59099,57397,97.12
PER,DTPCV1,DJI,"2023",18457,17597,95.34
PER,DTPCV1,DMA,"2023",658,650,98.78
PER,DTPCV1,DOM,"2023",185470,195408,105.36
PER,DTPCV1,ECU,"2023",241750,240075,99
PER,DTPCV1,EGY,"2023",2084513,2040528,97.89
PER,DTPCV1,SLV,"2023",75331,72670,96.47
PER,DTPCV1,GNQ,"2023",20550,16438,79.99
PER,DTPCV1,ERI,"2023",104374,79518,76.19
PER,DTPCV1,EST,"2023",13885,10142,73.04
PER,DTPCV1,SWZ,"2023",30887,27602,89.36
PER,DTPCV1,ETH,"2023",3424951,3567330,104.16
PER,DTPCV1,FJI,"2023",16835,16579,98.48
PER,DTPCV1,FIN,"2023",0,0,98
PER,DTPCV1,FRA,"2023",0,0,98.8
PER,DTPCV1,PYF,"2023",0,0,0
PER,DTPCV1,GAB,"2023",79453,58106,73.13
PER,DTPCV1,GMB,"2023",90166,75594,83.84
PER,DTPCV1,GEO,"2023",37604,36087,96
PER,DTPCV1,DEU,"2023",0,0,96.9
PER,DTPCV1,GHA,"2023",1252123,1197577,95.64
PER,DTPCV1,GRC,"2023",0,0,0
PER,DTPCV1,GRD,"2023",1482,1370,92.44
PER,DTPCV1,GUM,"2023",0,0,0
PER,DTPCV1,GTM,"2023",331510,329630,99.43
PER,DTPCV1,GIN,"2023",490406,477694,97.41
PER,DTPCV1,GNB,"2023",72712,58467,80.41
PER,DTPCV1,GUY,"2023",14081,14676,104.23
PER,DTPCV1,HTI,"2023",272870,285915,104.78
PER,DTPCV1,HND,"2023",201319,148611,73.82
PER,DTPCV1,HUN,"2023",87089,87047,99.95
PER,DTPCV1,ISL,"2023",4530,4324,95.45
PER,DTPCV1,IND,"2023",26576295,24795618,93.3
PER,DTPCV1,IDN,"2023",4348937,3975972,91.42
PER,DTPCV1,IRN,"2023",1061908,1055288,99.38
PER,DTPCV1,IRQ,"2023",1073988,1040036,96.84
PER,DTPCV1,IRL,"2023",61196,56624,92.53
PER,DTPCV1,ITA,"2023",0,0,0
PER,DTPCV1,JAM,"2023",29226,28760,98.41
PER,DTPCV1,JPN,"2023",831250,815570,98.11
PER,DTPCV1,JOR,"2023",172139,166574,96.77
PER,DTPCV1,KAZ,"2023",329740,323957,98.25
PER,DTPCV1,KEN,"2023",1692368,1405850,83.07
PER,DTPCV1,KIR,"2023",3349,3344,99.85
PER,DTPCV1,XKX,"2023",22012,20936,95.11
PER,DTPCV1,KWT,"2023",48468,49003,101.1
PER,DTPCV1,KGZ,"2023",141360,129086,91.32
PER,DTPCV1,LAO,"2023",148021,146179,98.76
PER,DTPCV1,LVA,"2023",14152,13852,97.88
PER,DTPCV1,LBN,"2023",94153,79907,84.87
PER,DTPCV1,LSO,"2023",30959,27579,89.08
PER,DTPCV1,LBR,"2023",189934,223464,117.65
PER,DTPCV1,LBY,"2023",269511,256785,95.28
PER,DTPCV1,LTU,"2023",21964,20476,93.23
PER,DTPCV1,LUX,"2023",0,0,0
PER,DTPCV1,MDG,"2023",1070946,992130,92.64
PER,DTPCV1,MWI,"2023",751353,714448,95
PER,DTPCV1,MYS,"2023",423124,454429,107.4
PER,DTPCV1,MDV,"2023",5827,5806,99.64
PER,DTPCV1,MLI,"2023",900292,967938,107.51
PER,DTPCV1,MLT,"2023",4369,4331,99.13
PER,DTPCV1,MHL,"2023",1448,1416,97.79
PER,DTPCV1,MRT,"2023",159663,161485,101.14
PER,DTPCV1,MUS,"2023",12703,10935,86.08
PER,DTPCV1,MEX,"2023",1802216,1602687,88.93
PER,DTPCV1,FSM,"2023",2582,2520,97.6
PER,DTPCV1,MCO,"2023",0,0,0
PER,DTPCV1,MNG,"2023",63649,62149,97.64
